umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
0.35169965,-2.3369353,-0.6415434,Drawings and Prints,Unknown,Engraving,Print,1730
6.991087,-3.2605333,6.616169,European Sculpture and Decorative Arts,"German, Meissen",Hard-paste porcelain,Figure,1727
9.154356,0.14797351,-4.7095356,Egyptian Art,Unknown,Stone,"Scarab, private",-1550
0.305662,-2.4143527,-1.3855724,Drawings and Prints,Unknown,Mezzotint,Print,1778
3.0806525,-3.2146385,-8.683079,European Sculpture and Decorative Arts,British,Cotton,Piece,1870
3.6579766,-4.112918,4.828112,Ancient Near Eastern Art,Unknown,Ceramic,Mosaic cone,-3100
-4.7123775,6.445776,0.73440695,Asian Art,Japan,Triptych of woodblock prints; ink and color on paper,Print,1857
-8.963507,-1.3779377,4.111759,European Sculpture and Decorative Arts,French,Silk and metal thread,Galloon,1600
-0.35355675,4.4501214,2.0321393,Costume Institute,probably American,leather,Shoes,1900
-4.5271945,-5.519701,-1.2129712,Drawings and Prints,Unknown,10 photomechanical prints and matching envelope in sepia,Print,1928
2.856781,0.26964393,-9.453117,Drawings and Prints,Unknown,Etching; second state of two (TIB),Print,1653
2.7401686,-0.4559396,1.301423,Drawings and Prints,Unknown,Engraving,Book Print Ornament & Architecture,1581
-11.635288,1.4011945,6.5002537,Drawings and Prints,Unknown,Commercial color lithograph,Print,1888
0.527035,10.570223,5.710241,European Sculpture and Decorative Arts,"Chinese, possibly for Dutch market",Hard-paste porcelain,Dish,1735
4.628877,5.5143905,-3.2893975,Islamic Art,Unknown,Pasteboard; painted and lacquered,Bookbinding,1700
-0.39180198,-3.9273744,9.5355,Drawings and Prints,Unknown,Woodcut,Books Prints Ornament & Architecture,1620
3.803862,11.918712,-0.85492486,European Sculpture and Decorative Arts,German,Silk and cotton,Piece,1800
2.8184423,4.3822675,-1.7485989,Drawings and Prints,Unknown,Lithograph,Print; Poster,1895
-4.19807,-5.9738092,-1.2403367,Drawings and Prints,Unknown,Commercial color photolithograph,Print,1915
-6.18408,0.26516804,4.176997,Drawings and Prints,Unknown,Lithograph; second state of two (Delteil),Print,1851
-1.9620266,-0.71602106,6.8597116,Egyptian Art,Unknown,Stone,"Fishtail, Knife, Bifacial knife",-3850
2.1396546,6.262462,-6.507447,Drawings and Prints,Unknown,Etching on laid paper,Print,1862
4.2716217,4.428603,-9.776412,Costume Institute,British,"Wool, silk",Cravat,1898
7.1329355,0.15235163,8.537679,Drawings and Prints,Unknown,Engraving,Print,1593
4.012918,8.414424,-4.3390827,The American Wing,French,Porcelain,Plate,1815
-1.5539821,4.2742004,-1.4424359,Photographs,Unknown,Unknown,Books,1951
-11.727771,-4.2959805,-9.263425,Egyptian Art,Unknown,Travertine (Egyptian alabaster),"Sarcophagus fragment, Siptah",-1194
-1.9983796,0.47579882,4.1948214,Medieval Art,Catalan,"Basse taille enamel, silver",Plaque,1300
-3.3405113,2.9054415,-0.9021843,Drawings and Prints,Unknown,Silkscreen,Print,1992
-6.917073,3.0055096,3.9471579,Egyptian Art,Unknown,Limestone,"Model vase, stand, stopper",-1981
4.7751384,2.3527148,8.363421,"Arts of Africa, Oceania, and the Americas",Zulu or Nguni peoples,"Fiber, glass beads, brass beads, shoelace, basketry, leather, cloth",Belt,1800
-0.43749985,-8.640107,-1.6991527,Asian Art,Japan,"Pair of six-panel folding screens; ink, color, gold, and gold leaf on paper",Screens,1567
-2.444892,-3.087619,-7.352293,Musical Instruments,American,"Boxwood, ebony, ivory, brass",Clarinet in B-flat,1800
0.36715773,-3.9237745,-4.086057,Asian Art,"India, Udaipur, Rajasthan",Opaque watercolor with gold and silver on cotton cloth,Painting,1805
-3.0408785,-2.285741,-0.49914828,Drawings and Prints,Unknown,Unknown,Book,1897
-6.4507666,2.8012927,-5.6841593,Drawings and Prints,Unknown,Engraving,Print,1778
-9.386478,-3.8132653,-5.465425,Asian Art,China,Ink on paper,Rubbing,1900
-1.8769214,5.0715137,-14.905994,Drawings and Prints,Unknown,Commercial color photolithograph,Print,1920
6.0099573,7.0554533,0.50788045,Costume Institute,American,[no medium available],Wedding Dress,1900
1.3787442,4.2489634,-2.0906527,Photographs,Unknown,Gelatin silver print,Photograph,1918
7.7249002,6.452647,-0.64455414,The American Wing,American,Blown molded lead glass,Wine glass,1820
5.5524693,-3.802862,-0.09409071,Drawings and Prints,Unknown,Engraving,Print,1552
-10.984273,14.028181,-1.7695023,Islamic Art,Unknown,Stucco; carved,Fragment,800
